date,open,high,low,close,volume,log_return,abs_log_return,volatility_threshold,is_anomaly
2014-01-31,1790.8800048828125,1793.8800048828125,1772.260009765625,1782.5899658203125,4059690000,-0.0064862902142503,0.0064862902142503,0.021889031854544664,0
2014-02-03,1782.6800537109375,1784.8299560546875,1739.6600341796875,1741.8900146484375,4726040000,-0.0230966047044865,0.0230966047044865,0.026243136554099985,0
2014-02-04,1743.8199462890625,1758.72998046875,1743.8199462890625,1755.199951171875,4068410000,0.0076120436830814,0.0076120436830814,0.026232383012138406,0
2014-02-05,1753.3800048828125,1755.7900390625,1737.9200439453125,1751.6400146484375,3984290000,-0.0020302824086565,0.0020302824086565,0.026344972746944327,0
2014-02-06,1752.989990234375,1774.06005859375,1752.989990234375,1773.4300537109375,3825410000,0.0123630544533757,0.0123630544533757,0.026619700390386275,0
2014-02-07,1776.010009765625,1798.030029296875,1776.010009765625,1797.02001953125,3775990000,0.0132141935042969,0.0132141935042969,0.026860765359504282,0
2014-02-10,1796.199951171875,1799.93994140625,1791.8299560546875,1799.8399658203125,3312160000,0.001568004803254,0.001568004803254,0.026943746873106852,0
2014-02-11,1800.449951171875,1823.5400390625,1800.4100341796875,1819.75,3699380000,0.0110013759442549,0.0110013759442549,0.026710391760375107,0
2014-02-12,1820.1199951171875,1826.550048828125,1815.969970703125,1819.260009765625,3326380000,-0.0002692986477208,0.0002692986477208,0.02683091883321393,0
2014-02-13,1814.8199462890625,1830.25,1809.219970703125,1829.8299560546875,3289510000,0.0057932119787766,0.0057932119787766,0.026827437586367398,0
2014-02-14,1828.4599609375,1841.6500244140625,1825.5899658203125,1838.6300048828125,3114750000,0.0047976893855483,0.0047976893855483,0.02659002706706049,0
2014-02-18,1839.030029296875,1842.8699951171875,1835.010009765625,1840.760009765625,3421110000,0.0011578033925587,0.0011578033925587,0.026817919614579647,0
2014-02-19,1838.9000244140625,1847.5,1826.989990234375,1828.75,3661570000,-0.0065458617731959,0.0065458617731959,0.026704120691413386,0
2014-02-20,1829.239990234375,1842.7900390625,1824.5799560546875,1839.780029296875,3404980000,0.006013341826934,0.006013341826934,0.026305713191517813,0
2014-02-21,1841.0699462890625,1846.1300048828125,1835.5999755859373,1836.25,3403880000,-0.001920566673181,0.001920566673181,0.026430478707572255,0
2014-02-24,1836.780029296875,1858.7099609375,1836.780029296875,1847.6099853515625,4014530000,0.0061674555523314,0.0061674555523314,0.02317781821854268,0
2014-02-25,1847.6600341796875,1852.9100341796875,1840.18994140625,1845.1199951171875,3515560000,-0.0013485906767746,0.0013485906767746,0.02340506475086302,0
2014-02-26,1845.7900390625,1852.6500244140625,1840.6600341796875,1845.1600341796875,3716730000,2.1699742124629575e-05,2.1699742124629575e-05,0.02374151180635759,0
2014-02-27,1844.9000244140625,1854.530029296875,1841.1300048828125,1854.2900390625,3547460000,0.0049358814084165,0.0049358814084165,0.023313885391420975,0
2014-02-28,1855.1199951171875,1867.9200439453125,1847.6700439453125,1859.449951171875,3917450000,0.002778824281338,0.002778824281338,0.022697165562072522,0
2014-03-03,1857.6800537109373,1857.6800537109373,1834.43994140625,1845.72998046875,3428220000,-0.0074058662004547,0.0074058662004547,0.02276828563697545,0
2014-03-04,1849.22998046875,1876.22998046875,1849.22998046875,1873.9100341796875,3765770000,0.0151523226761417,0.0151523226761417,0.019052903690739732,0
2014-03-05,1874.050048828125,1876.530029296875,1871.1099853515625,1873.81005859375,3392990000,-5.335274966455346e-05,5.335274966455346e-05,0.01909007765420688,0
2014-03-06,1874.1800537109373,1881.93994140625,1874.1800537109373,1877.030029296875,3360450000,0.001716933496857,0.001716933496857,0.019110183213672638,0
2014-03-07,1878.52001953125,1883.5699462890625,1870.56005859375,1878.0400390625,3564740000,0.0005379445771157,0.0005379445771157,0.01788595409319544,0
2014-03-10,1877.8599853515625,1877.8699951171875,1867.0400390625,1877.1700439453125,3021350000,-0.0004633536412194,0.0004633536412194,0.016037861674301095,0
2014-03-11,1878.260009765625,1882.3499755859373,1863.8800048828125,1867.6300048828125,3392400000,-0.0050950969752158,0.0050950969752158,0.016111347945097856,0
2014-03-12,1866.1500244140625,1868.3800048828125,1854.3800048828125,1868.199951171875,3270860000,0.00030512432321,0.00030512432321,0.014804783502552862,0
2014-03-13,1869.06005859375,1874.4000244140625,1841.8599853515625,1846.3399658203125,3670990000,-0.0117700916958836,0.0117700916958836,0.01636371889329783,0
2014-03-14,1845.0699462890625,1852.43994140625,1839.5699462890625,1841.1300048828125,3285460000,-0.0028257664174451,0.0028257664174451,0.016193994422208577,0
2014-03-17,1842.81005859375,1862.300048828125,1842.81005859375,1858.8299560546875,2860490000,0.0095677176950389,0.0095677176950389,0.016980703522322317,0
2014-03-18,1858.9200439453125,1873.760009765625,1858.9200439453125,1872.25,2930190000,0.0071936822454731,0.0071936822454731,0.01722280891353812,0
2014-03-19,1872.25,1874.1400146484373,1850.3499755859373,1860.77001953125,3289210000,-0.0061505250967345,0.0061505250967345,0.01717681786454904,0
2014-03-20,1860.0899658203125,1873.489990234375,1854.6300048828125,1872.010009765625,3327540000,0.0060223340875217,0.0060223340875217,0.017177756215192293,0
2014-03-21,1874.530029296875,1883.969970703125,1863.4599609375,1866.52001953125,5270710000,-0.0029369801166087,0.0029369801166087,0.017145490437183875,0
2014-03-24,1867.6700439453125,1873.3399658203125,1849.68994140625,1857.43994140625,3409000000,-0.0048765809593632,0.0048765809593632,0.017035365697376813,0
2014-03-25,1859.47998046875,1871.8699951171875,1855.9599609375,1865.6199951171875,3200560000,0.0043942708488222,0.0043942708488222,0.0169821534751761,0
2014-03-26,1867.0899658203125,1875.9200439453125,1852.56005859375,1852.56005859375,3480850000,-0.007024936954876,0.007024936954876,0.01695845304751491,0
2014-03-27,1852.1099853515625,1855.550048828125,1842.1099853515625,1849.0400390625,3733430000,-0.001901891343977,0.001901891343977,0.0169943861115815,0
2014-03-28,1850.0699462890625,1866.6300048828125,1850.0699462890625,1857.6199951171875,2955520000,0.0046294892434096,0.0046294892434096,0.016995850833402514,0
2014-03-31,1859.1600341796875,1875.1800537109373,1859.1600341796875,1872.3399658203125,3274300000,0.0078928713847966,0.0078928713847966,0.01707079085828137,0
2014-04-01,1873.9599609375,1885.8399658203125,1873.9599609375,1885.52001953125,3336190000,0.0070146880442134,0.0070146880442134,0.014458213530914137,0
2014-04-02,1886.6099853515625,1893.1700439453125,1883.7900390625,1890.9000244140625,3131660000,0.0028492638318384,0.0028492638318384,0.01415217937310267,0
2014-04-03,1891.4300537109373,1893.800048828125,1882.6500244140625,1888.77001953125,3055600000,-0.0011270852130106,0.0011270852130106,0.014220972491862965,0
2014-04-04,1890.25,1897.280029296875,1863.260009765625,1865.0899658203125,3583750000,-0.0126165429253139,0.0126165429253139,0.015715202117812084,0
2014-04-07,1863.9200439453125,1864.0400390625,1841.47998046875,1845.0400390625,3801540000,-0.0108083123321497,0.0108083123321497,0.01625333515076078,0
